tensor(158.8874, device='mps:0')
tensor(141.7640, device='mps:0')
tensor(91.3528, device='mps:0')
tensor(40.1307, device='mps:0')
tensor(36.6695, device='mps:0')
tensor(40.9913, device='mps:0')
tensor(12.6269, device='mps:0')
tensor(14.2417, device='mps:0')
tensor(12.7105, device='mps:0')
tensor(6.6724, device='mps:0')
tensor(6.9739, device='mps:0')
tensor(5.6372, device='mps:0')
tensor(2.4973, device='mps:0')
tensor(1.9677, device='mps:0')
tensor(2.7996, device='mps:0')
tensor(0.4297, device='mps:0')
tensor(0.4324, device='mps:0')
tensor(0.5334, device='mps:0')
tensor(0.3899, device='mps:0')
tensor(0.4622, device='mps:0')
tensor(0.1084, device='mps:0')
tensor(0.3676, device='mps:0')
tensor(0.2847, device='mps:0')
tensor(0.2771, device='mps:0')
tensor(0.1364, device='mps:0')
tensor(0.1322, device='mps:0')
tensor(0.1337, device='mps:0')
tensor(0.0639, device='mps:0')
tensor(0.0505, device='mps:0')
tensor(0.0741, device='mps:0')
tensor(0.0337, device='mps:0')
tensor(0.0307, device='mps:0')
tensor(0.0253, device='mps:0')
tensor(0.0736, device='mps:0')
tensor(0.0413, device='mps:0')
tensor(0.0583, device='mps:0')
tensor(0.0740, device='mps:0')
tensor(0.0691, device='mps:0')
tensor(0.0292, device='mps:0')
tensor(0.0121, device='mps:0')
tensor(0.0072, device='mps:0')
tensor(0.0032, device='mps:0')
tensor(0.0304, device='mps:0')
tensor(0.0545, device='mps:0')
tensor(0.0132, device='mps:0')
tensor(0.0056, device='mps:0')
tensor(0.0065, device='mps:0')
tensor(0.0053, device='mps:0')
tensor(0.0666, device='mps:0')
tensor(0.1264, device='mps:0')
tensor(0.2159, device='mps:0')
tensor(0.0042, device='mps:0')
tensor(0.0030, device='mps:0')
tensor(0.0030, device='mps:0')
tensor(0.0156, device='mps:0')
tensor(0.0051, device='mps:0')
tensor(0.0061, device='mps:0')
tensor(0.0015, device='mps:0')
tensor(0.0017, device='mps:0')
tensor(0.0011, device='mps:0')

PA diff

tensor(56.7278, device='mps:0')
tensor(54.6948, device='mps:0')
tensor(51.9764, device='mps:0')
tensor(4.2804, device='mps:0')
tensor(4.1777, device='mps:0')
tensor(6.2695, device='mps:0')
tensor(0.6524, device='mps:0')
tensor(0.6714, device='mps:0')
tensor(0.6793, device='mps:0')
tensor(0.6484, device='mps:0')
tensor(0.6730, device='mps:0')
tensor(0.6429, device='mps:0')
tensor(0.6345, device='mps:0')
tensor(0.6136, device='mps:0')
tensor(0.5673, device='mps:0')
tensor(0.5031, device='mps:0')
tensor(0.5244, device='mps:0')
tensor(0.4325, device='mps:0')
tensor(1.5775, device='mps:0')
tensor(1.0313, device='mps:0')
tensor(1.0226, device='mps:0')
tensor(0.4175, device='mps:0')
tensor(0.3894, device='mps:0')
tensor(0.4236, device='mps:0')
tensor(0.3625, device='mps:0')
tensor(0.5138, device='mps:0')
tensor(0.3691, device='mps:0')
tensor(0.0576, device='mps:0')
tensor(0.0881, device='mps:0')
tensor(0.0742, device='mps:0')
tensor(0.0361, device='mps:0')
tensor(0.0181, device='mps:0')
tensor(0.0165, device='mps:0')
tensor(0.9759, device='mps:0')
tensor(1.2690, device='mps:0')
tensor(1.4722, device='mps:0')
tensor(0.0706, device='mps:0')
tensor(0.0832, device='mps:0')
tensor(0.0829, device='mps:0')
tensor(0.1061, device='mps:0')
tensor(0.0829, device='mps:0')
tensor(0.1236, device='mps:0')
tensor(0.0109, device='mps:0')
tensor(0.0110, device='mps:0')
tensor(0.0056, device='mps:0')
tensor(0.0243, device='mps:0')
tensor(0.0299, device='mps:0')
tensor(0.0193, device='mps:0')
tensor(0.0203, device='mps:0')
tensor(0.0307, device='mps:0')
tensor(0.0289, device='mps:0')
